Precompute geometric measures at collocation points.
Done.
Start training.
Inner energy: 9.45e-03, Energy share (memb./bend./shear): 7.63e-03/1.19e-03/6.38e-04, Work: 1.89e-02
Inner energy: 9.48e-03, Energy share (memb./bend./shear): 7.66e-03/1.19e-03/6.34e-04, Work: 1.90e-02
Inner energy: 9.47e-03, Energy share (memb./bend./shear): 7.66e-03/1.18e-03/6.26e-04, Work: 1.90e-02
Inner energy: 9.47e-03, Energy share (memb./bend./shear): 7.66e-03/1.18e-03/6.26e-04, Work: 1.90e-02
Epoch: 6, rel. L2 error: 9.64e-02
Inner energy: 9.47e-03, Energy share (memb./bend./shear): 7.66e-03/1.18e-03/6.26e-04, Work: 1.90e-02
Inner energy: 9.45e-03, Energy share (memb./bend./shear): 7.65e-03/1.20e-03/5.95e-04, Work: 1.89e-02
Inner energy: 9.51e-03, Energy share (memb./bend./shear): 7.70e-03/1.20e-03/6.11e-04, Work: 1.90e-02
Inner energy: 9.50e-03, Energy share (memb./bend./shear): 7.69e-03/1.21e-03/5.96e-04, Work: 1.90e-02
Inner energy: 9.53e-03, Energy share (memb./bend./shear): 7.70e-03/1.22e-03/6.09e-04, Work: 1.90e-02
Inner energy: 9.51e-03, Energy share (memb./bend./shear): 7.69e-03/1.23e-03/5.97e-04, Work: 1.90e-02
Inner energy: 9.50e-03, Energy share (memb./bend./shear): 7.68e-03/1.22e-03/6.11e-04, Work: 1.90e-02
Inner energy: 9.48e-03, Energy share (memb./bend./shear): 7.66e-03/1.23e-03/5.89e-04, Work: 1.90e-02
Inner energy: 9.55e-03, Energy share (memb./bend./shear): 7.72e-03/1.24e-03/5.99e-04, Work: 1.91e-02
Inner energy: 9.54e-03, Energy share (memb./bend./shear): 7.71e-03/1.25e-03/5.81e-04, Work: 1.91e-02
Inner energy: 9.59e-03, Energy share (memb./bend./shear): 7.75e-03/1.26e-03/5.71e-04, Work: 1.91e-02
Inner energy: 9.56e-03, Energy share (memb./bend./shear): 7.72e-03/1.27e-03/5.67e-04, Work: 1.91e-02
Inner energy: 9.55e-03, Energy share (memb./bend./shear): 7.70e-03/1.27e-03/5.79e-04, Work: 1.91e-02
Inner energy: 9.54e-03, Energy share (memb./bend./shear): 7.68e-03/1.26e-03/5.94e-04, Work: 1.91e-02
Inner energy: 9.53e-03, Energy share (memb./bend./shear): 7.67e-03/1.25e-03/6.06e-04, Work: 1.91e-02
Inner energy: 9.56e-03, Energy share (memb./bend./shear): 7.70e-03/1.25e-03/6.05e-04, Work: 1.91e-02
Inner energy: 9.54e-03, Energy share (memb./bend./shear): 7.69e-03/1.25e-03/5.89e-04, Work: 1.91e-02
Inner energy: 9.58e-03, Energy share (memb./bend./shear): 7.74e-03/1.26e-03/5.73e-04, Work: 1.91e-02
Inner energy: 9.56e-03, Energy share (memb./bend./shear): 7.74e-03/1.27e-03/5.56e-04, Work: 1.91e-02
Inner energy: 9.54e-03, Energy share (memb./bend./shear): 7.73e-03/1.26e-03/5.51e-04, Work: 1.91e-02
Inner energy: 9.51e-03, Energy share (memb./bend./shear): 7.69e-03/1.27e-03/5.47e-04, Work: 1.91e-02
Inner energy: 9.51e-03, Energy share (memb./bend./shear): 7.69e-03/1.27e-03/5.47e-04, Work: 1.91e-02
Epoch: 7, rel. L2 error: 6.37e-02
Inner energy: 9.51e-03, Energy share (memb./bend./shear): 7.69e-03/1.27e-03/5.47e-04, Work: 1.91e-02
Inner energy: 9.50e-03, Energy share (memb./bend./shear): 7.68e-03/1.27e-03/5.60e-04, Work: 1.91e-02
Inner energy: 9.53e-03, Energy share (memb./bend./shear): 7.69e-03/1.28e-03/5.65e-04, Work: 1.91e-02
Inner energy: 9.56e-03, Energy share (memb./bend./shear): 7.71e-03/1.28e-03/5.71e-04, Work: 1.92e-02
Inner energy: 9.60e-03, Energy share (memb./bend./shear): 7.74e-03/1.30e-03/5.65e-04, Work: 1.92e-02
Inner energy: 9.60e-03, Energy share (memb./bend./shear): 7.74e-03/1.30e-03/5.64e-04, Work: 1.92e-02
Inner energy: 9.61e-03, Energy share (memb./bend./shear): 7.75e-03/1.30e-03/5.61e-04, Work: 1.92e-02
Inner energy: 9.62e-03, Energy share (memb./bend./shear): 7.76e-03/1.29e-03/5.72e-04, Work: 1.92e-02
Inner energy: 9.60e-03, Energy share (memb./bend./shear): 7.75e-03/1.29e-03/5.70e-04, Work: 1.92e-02
Inner energy: 9.60e-03, Energy share (memb./bend./shear): 7.75e-03/1.28e-03/5.73e-04, Work: 1.92e-02
Inner energy: 9.57e-03, Energy share (memb./bend./shear): 7.73e-03/1.28e-03/5.63e-04, Work: 1.92e-02
Inner energy: 9.57e-03, Energy share (memb./bend./shear): 7.73e-03/1.29e-03/5.57e-04, Work: 1.92e-02
Inner energy: 9.56e-03, Energy share (memb./bend./shear): 7.72e-03/1.29e-03/5.49e-04, Work: 1.92e-02
Inner energy: 9.58e-03, Energy share (memb./bend./shear): 7.74e-03/1.30e-03/5.49e-04, Work: 1.92e-02
Inner energy: 9.60e-03, Energy share (memb./bend./shear): 7.74e-03/1.30e-03/5.54e-04, Work: 1.92e-02
Inner energy: 9.61e-03, Energy share (memb./bend./shear): 7.75e-03/1.30e-03/5.59e-04, Work: 1.92e-02
Inner energy: 9.61e-03, Energy share (memb./bend./shear): 7.75e-03/1.30e-03/5.61e-04, Work: 1.92e-02
